Level 1 Group,Level 2 Group,Level 3 Group,Level 4 Group,Level 5 Group,Item Name,Quantity,Material $/Unit,Labor $/unit,Labor Rate ($/hr),Labor Productivity (units/hr),Equipment $/unit,Other $/unit,Subcontract $/unit,Subcontract Rate ($/hr),Subcontract Productivity (units/hr),Measurement Unit (Abbreviation),Description,Private Notes,Product Level 1 Group,Product Level 2 Group,Product Level 3 Group,Product Level 4 Group,Product Level 5 Group,Product Name,Vendor SKU,Incremental Order Quantity,Unit Of Purchase (Abbreviation),Price Per Unit,Waste Factor,Description.1,Private Notes.1,Tags
Interior Overall:,14. Main Floor Bath,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Exterior:,Exterior Door,0.0,246,----,0.0,0,----,----,----,----,----,Each (Ea),Installation of new exterior door.,----,----,----,----,----,----,Steves & Sons Element Series 6-Panel White Primed Steel Front Door Slab,1001251552.0,1.0,each (each),196.0,0.0,----,https://www.homedepot.com/p/Steves-Sons-32-in-x-79-in-Element-Series-6-Panel-Primed-White-Steel-Front-Door-Slab-STL6PX3280/205741573,----
Interior Overall:,14. Main Floor Bath,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Exterior:,PAINT - Front Door,0.0,80,----,0.0,0,----,----,----,----,----,Each (Ea),"Scrape, prep and paint front door black",----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Interior Overall:,14. Main Floor Bath,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Exterior:,Front Door (Standard),0.0,630.51,----,0.0,0,----,----,----,----,----,Each (Ea),Installation of standard quality front door.,----,----,----,----,----,----,JELD-WEN 36 in. x 80 in. Camber Top Mission Prairie Primed Steel Prehung Left-Hand Inswing Front Door w/Brickmould,534066.0,1.0,each (each),628.0,0.0,----,https://www.homedepot.com/p/JELD-WEN-36-in-x-80-in-Camber-Top-Mission-Prairie-Primed-Steel-Prehung-Left-Hand-Inswing-Front-Door-w-Brickmould-THDJW166700576/202036118,----
Interior Overall:,14. Main Floor Bath,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Exterior:,Storm Door Pistion,0.0,44.97,----,0.0,0,----,----,----,----,----,Each (Ea),Replacement of faulty storm door piston.,----,----,----,----,----,----,Wright Products Medium Duty Hydraulic White Door Closer,1001606785.0,1.0,each (each),31.79,0.0,----,https://www.homedepot.com/p/Wright-Products-Medium-Duty-Hydraulic-White-Door-Closer-VH440WH/206520378,----
Interior Overall:,14. Main Floor Bath,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Exterior:,DOORS - DEMO - Front Storm/Security door,0.0,40,----,0.0,0,----,----,----,----,----,Each (Ea),"Remove, patch any holes from removal, touch up paint.",----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Interior Overall:,14. Main Floor Bath,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Exterior:,Storm Door (Standard),0.0,219,----,0.0,0,----,----,----,----,----,Each (Ea),Installation of standard quality storm door.,----,----,----,----,----,----,EMCO 36 in. x 80 in. 100 Series White Self-Storing Storm Door,818771.0,1.0,each (each),178.0,0.0,----,https://www.homedepot.com/p/EMCO-36-in-x-80-in-100-Series-White-Self-Storing-Storm-Door-E1SS-36WH/100081634,----
Interior Overall:,14. Main Floor Bath,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Exterior:,Storm Door (Upgraded),0.0,419,----,0.0,0,----,----,----,----,----,Each (Ea),Installation of an Upgraded quality of storm door.,----,----,----,----,----,----,Andersen 36 in. x 80 in. 3000 Series White Right-Hand Self-Storing Easy Install Aluminum Storm Door,975549.0,1.0,each (each),344.0,0.0,----,https://www.homedepot.com/p/Andersen-36-in-x-80-in-3000-Series-White-Right-Hand-Self-Storing-Easy-Install-Aluminum-Storm-Door-H3SER36WH/202985075,----
Interior Overall:,14. Main Floor Bath,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Exterior:,Replace Sliding Glass Door,0.0,1679.04,----,0.0,0,----,----,----,----,----,Each (Ea),----,----,----,----,----,----,----,MP Doors 72 in. x 80 in. Smooth White Left-Hand Composite Sliding Patio Door with 15-Lite GBG,1000337878.0,1.0,each (each),1428.0,0.0,----,https://www.homedepot.com/p/MP-Doors-72-in-x-80-in-Smooth-White-Left-Hand-Composite-Sliding-Patio-Door-with-15-Lite-GBG-G6068L002W3/203188687,----
Interior Overall:,14. Main Floor Bath,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Exterior:,DOORS - SLIDER - Clean Track,0.0,43.48,----,0.0,0,----,----,----,----,----,Each (Ea),Clean and grease sliding door track and adjust for proper functionality.,----,----,----,----,----,----,"WD-40 SPECIALIST 10 oz. White Lithium Grease, Long-Lasting Grease Spray",1004795364.0,1.0,each (each),8.48,0.0,----,https://www.homedepot.com/p/WD-40-SPECIALIST-10-oz-White-Lithium-Grease-Long-Lasting-Grease-Spray-30061/311360785,----
Interior Overall:,14. Main Floor Bath,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Exterior:,DOORS - SLIDER - Securtity/Charlie bar,0.0,46.78,----,0.0,0,----,----,----,----,----,Each (Ea),Install permanently mounted back sliding door security bar,----,----,----,----,----,----,"Prime-Line 28 in. to 48 in., Aluminum, White, Security Bar Lock",633365.0,1.0,each (each),19.5,0.0,----,https://www.homedepot.com/p/Prime-Line-28-in-to-48-in-Aluminum-White-Security-Bar-Lock-U-9921/100176808,----
Interior Overall:,14. Main Floor Bath,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Exterior:,Back Screen Door Slider,0.0,109,----,0.0,0,----,----,----,----,----,Each (Ea),----,----,----,----,----,----,----,36 in. x 80 in. Adjustable Fit White Premium Patio Sliding Screen Door,1005447860.0,1.0,piece (piece),105.0,0.0,----,https://www.homedepot.com/p/36-in-x-80-in-Adjustable-Fit-White-Premium-Patio-Sliding-Screen-Door-PSD36W/315879837,----
Interior Overall:,14. Main Floor Bath,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Door Accessories & Hardware,DOORS - Door Bell - Wireless Install,0.0,47.97,----,0.0,0,----,----,----,----,----,Each (Ea),Remove existing door bell (if present - To include video doorbells) and install wireless doorbell.,----,----,----,----,----,----,"Hampton Bay Wireless Plug-In Doorbell Kit with Wireless Push Button, White",1003008627.0,1.0,each (each),27.97,0.0,----,https://www.homedepot.com/p/Hampton-Bay-Wireless-Plug-In-Doorbell-Kit-with-Wireless-Push-Button-White-HB-7731-03/304225375,----
Interior Overall:,14. Main Floor Bath,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Door Accessories & Hardware,Install Door Stop,0.0,6.27,----,0.0,0,----,----,----,----,----,Each (Ea),Install mid-hight wall door stop (base or hinge if no other option).,----,----,----,----,----,----,"Prime-Line 3 1/4 in., Rigid Vinyl, White, Self Adhesive Wall Protector",316307.0,1.0,each (each),2.97,0.0,----,https://www.homedepot.com/p/Prime-Line-3-1-4-in-Rigid-Vinyl-White-Self-Adhesive-Wall-Protector-U-9243/100209221,----
Interior Overall:,14. Main Floor Bath,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Door Accessories & Hardware,DOORS - Weatherstripping - Replace,0.0,17.27,8.95,----,----,----,----,----,----,----,Each (Ea),----,----,----,----,----,----,----,Cinch 36 in. White Vinyl U-Shape Cinch Slide-On Under Door Seal,1001028396.0,1.0,each (each),13.82,0.0,----,https://www.homedepot.com/p/Cinch-36-in-White-Vinyl-U-Shape-Cinch-Slide-On-Under-Door-Seal-43336/205573049,----
Interior Overall:,14. Main Floor Bath,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Door Accessories & Hardware,Doors - Privacy Knobs,0.0,36.47,----,0.0,0,----,----,----,----,----,Each (Ea),"Install Privacy knobs, strike plate.",----,(null),----,----,----,----,Schlage Georgian Satin Nickel Privacy Bed/Bath Door Knob with Lock,779758.0,1.0,each (each),26.47,0.0,----,https://www.homedepot.com/p/Schlage-Georgian-Satin-Nickel-Privacy-Bed-Bath-Door-Knob-with-Lock-F40-GEO-619/100076011,----
Interior Overall:,14. Main Floor Bath,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Door Accessories & Hardware,DOORS - Smart Lock Change Out,0.0,89.47,----,0.0,0,----,----,----,----,----,Each (Ea),Re-key with smart key door knob and dead bolt. (Per Door),----,----,----,----,----,----,Kwikset Juno Satin Nickel Exterior Entry Door Knob and Single Cylinder Deadbolt Combo Pack Featuring SmartKey Security,909843.0,1.0,each (each),56.97,0.0,----,https://www.homedepot.com/p/Kwikset-Juno-Satin-Nickel-Exterior-Entry-Door-Knob-and-Single-Cylinder-Deadbolt-Combo-Pack-Featuring-SmartKey-Security-991J-15-SMT-CP/100597328,----
Interior Overall:,14. Main Floor Bath,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Door Accessories & Hardware,DOORS - Replace passage knob (Brushed Nickel),0.0,30.47,----,5.5,0,----,----,----,----,----,Each (Ea),"Replace passage knob sets and strike plates on interior doors. To include bedrooms, closets and basement doors",Cost Codes for Doors,(null),----,----,----,----,Schlage Georgian Satin Nickel Passage Hall/Closet Door Knob,779786.0,1.0,each (each),24.97,0.0,----,https://www.homedepot.com/p/Schlage-Georgian-Satin-Nickel-Passage-Hall-Closet-Door-Knob-F10-GEO-619/100028727,----
Interior Overall:,14. Main Floor Bath,"Doors & Closets, Hardware, Accessories, etc...",Closet Items,----,Closet Rod Brackets,0.0,19.98,----,0.0,0,----,----,----,----,----,Each (Ea),Installation of closet Rod brackets.,----,----,----,----,----,----,Everbilt 2.68 in. Heavy-Duty Brushed Nickel Closet Rod Pole Sockets (2-Pack),490170.0,1.0,each (each),8.98,0.0,----,https://www.homedepot.com/p/Everbilt-2-68-in-Heavy-Duty-Brushed-Nickel-Closet-Rod-Pole-Sockets-2-Pack-EH-WSTHDUS-324/300262700,----
Interior Overall:,14. Main Floor Bath,"Doors & Closets, Hardware, Accessories, etc...",Closet Items,----,DOORS - CLOSET - Bifold Doors Install/Replace,0.0,332.7,----,0.0,0,----,----,----,----,----,Each (Ea),Installation of bifold closet doors,----,----,----,----,----,----,JELD-WEN 48 in. x 80 in. 6 Panel Colonist Primed Textured Molded Composite MDF Closet Bi-Fold Double Door,311607.0,1.0,each (each),278.0,0.0,----,https://www.homedepot.com/p/JELD-WEN-48-in-x-80-in-6-Panel-Colonist-Primed-Textured-Molded-Composite-MDF-Closet-Bi-Fold-Double-Door-THDJW160600153/202037494,----
Interior Overall:,14. Main Floor Bath,"Doors & Closets, Hardware, Accessories, etc...",Closet Items,----,CLOSET - Closet Rod - Replace,0.0,84.98,----,----,----,----,----,----,----,----,Each (Ea),Replace/install closet rod with appropriate supports,Cost Codes for Interior Carpentry Work,----,----,----,----,----,Everbilt 8 ft. Oak Closet Pole,315788.0,1.0,each (each),31.23,0.0,----,https://www.homedepot.com/p/Everbilt-8-ft-Oak-Closet-Pole-65430/300722708,----
Interior Overall:,14. Main Floor Bath,"Doors & Closets, Hardware, Accessories, etc...",Closet Items,----,CLOSET - Wood Shelving - Replace,0.0,76.98,----,52.0,0,----,----,----,----,----,Each (Ea),Replace/install wood shelving as specified and paint as needed,Cost Codes for Interior Carpentry Work,----,----,----,----,----,ClosetMaid Selectives 48 in. White Laminate Wall Mounted Shelf,225452.0,1.0,each (each),21.98,0.0,----,https://www.homedepot.com/p/ClosetMaid-Selectives-48-in-White-Laminate-Wall-Mounted-Shelf-7034/100597844,----
Interior Overall:,14. Main Floor Bath,"Doors & Closets, Hardware, Accessories, etc...",Closet Items,----,DOORS - CLOSET - Closet Door Hardware - (ByPass),0.0,51.27,----,0.0,0,----,----,----,----,----,Each (Ea),----,----,----,----,----,----,----,Prime-Line Bypass Closet Door Track Kit,1000751567.0,1.0,each (each),25.66,0.0,----,https://www.homedepot.com/p/Prime-Line-Bypass-Closet-Door-Track-Kit-163590/203588785,----
Interior Overall:,14. Main Floor Bath,"Doors & Closets, Hardware, Accessories, etc...",Closet Items,----,DOORS - CLOSET - Closet Door Hardware - (Sliding),0.0,34.93,----,0.0,0,----,----,----,----,----,Each (Ea),----,----,----,----,----,----,----,Everbilt 48 in. Sliding Door Set,831387.0,1.0,each (each),12.27,0.0,----,https://www.homedepot.com/p/Everbilt-48-in-Sliding-Door-Set-18396/202041870,----
Interior Overall:,14. Main Floor Bath,"Doors & Closets, Hardware, Accessories, etc...",Closet Items,----,DOORS - CLOSET - Closet Door Hardware - (BiFold),0.0,40.93,----,0.0,0,----,----,----,----,----,Each (Ea),----,----,----,----,----,----,----,Everbilt 36 in. Bi-Fold Door Hardware Set with Galvanized Track,824348.0,1.0,each (each),20.93,0.0,----,https://www.homedepot.com/p/Everbilt-36-in-Bi-Fold-Door-Hardware-Set-with-Galvanized-Track-18401/202034320,----
Interior Overall:,14. Main Floor Bath,Interior Electrical & Lighting,Smokes & Accessories,----,Smoke Battery,0.0,6.89,----,0.0,0,----,----,----,----,----,Each (Ea),Install  smoke battery,----,----,----,----,----,----,Kidde AA Smoke Detector Replacement Batteries,1001320873.0,1.0,bundle (bundle),6.34,0.0,----,https://www.homedepot.com/p/Kidde-AA-Smoke-Detector-Replacement-Batteries-21026968/205976053,----
Interior Overall:,14. Main Floor Bath,Interior Electrical & Lighting,Smokes & Accessories,----,Wired Smoke Detector,0.0,37.47,----,0.0,0,----,----,----,----,----,Each (Ea),Installation of Wired smoke Detector.,----,(null),----,----,----,----,"Kidde 10 Year Worry-Free Smoke Detector, Hardwired with 10 Year Battery Backup, Smoke Alarm",1000392327.0,1.0,each (each),29.97,0.0,----,https://www.homedepot.com/p/Kidde-10-Year-Worry-Free-Smoke-Detector-Hardwired-with-10-Year-Battery-Backup-Smoke-Alarm-21029878/205422307,----
Interior Overall:,14. Main Floor Bath,Interior Electrical & Lighting,Smokes & Accessories,----,Combo Detector,0.0,72.47,----,0.0,0,----,----,----,----,----,Each (Ea),Install Combo Detector in Proper Location,----,(null),----,----,----,----,"Kidde 10-Year Worry Free Smoke & Carbon Monoxide Detector, Lithium Battery Powered with Photoelectric Sensor and Voice Alarm",1001262578.0,1.0,each (each),59.97,0.0,----,https://www.homedepot.com/p/Kidde-10-Year-Worry-Free-Smoke-Carbon-Monoxide-Detector-Lithium-Battery-Powered-with-Photoelectric-Sensor-and-Voice-Alarm-21030866/205842861,----
Interior Overall:,14. Main Floor Bath,Interior Electrical & Lighting,Smokes & Accessories,----,ELECTRICAL - Detector - Smoke (Battery),0.0,32.47,----,0.0,0,----,----,----,----,----,Each (Ea),Install battery powered smoke detector.,----,(null),----,----,----,----,Kidde 10 Year Worry-Free Sealed Battery Smoke Detector with Photoelectric Sensor,144239.0,1.0,each (each),24.97,0.0,----,https://www.homedepot.com/p/Kidde-10-Year-Worry-Free-Sealed-Battery-Smoke-Detector-with-Photoelectric-Sensor-21029618/203525026,----
Interior Overall:,14. Main Floor Bath,Interior Electrical & Lighting,Lighting:,Fixtures,Install Fan with LED 5000K,0.0,109.98,----,0.0,0,----,----,----,----,----,Each (Ea),Install Ceiling Fan with light.,----,----,----,----,----,----,Hugger 52 in. LED Gunmetal Ceiling Fan,1003023403.0,1.0,each (each),59.97,0.0,----,https://www.homedepot.com/p/Hugger-52-in-LED-Gunmetal-Ceiling-Fan-AL383LED-GM/304542817,----
Interior Overall:,14. Main Floor Bath,Interior Electrical & Lighting,Lighting:,Fixtures,Install LED Can light,0.0,46.97,----,0.0,0,----,----,----,----,----,Each (Ea),----,----,----,----,----,----,----,"Halo RL 5 in. and 6 in. 2700K-5000K White Integrated LED Recessed Ceiling Light Trim at Selectable CCT, (665 Lumens)",1003021686.0,1.0,each (each),21.97,0.0,----,https://www.homedepot.com/p/Halo-RL-5-in-and-6-in-2700K-5000K-White-Integrated-LED-Recessed-Ceiling-Light-Trim-at-Selectable-CCT-665-Lumens-RL56069S1EWHR/304533541,----
Interior Overall:,14. Main Floor Bath,Interior Electrical & Lighting,Lighting:,Fixtures,Replace Pull Chain Light fixture,0.0,30.98,----,0.0,0,----,----,----,----,----,Each (Ea),Install new pull chain light,----,----,----,----,----,----,Leviton Glazed Porcelain Lamp Holder with Pull Chain and Outlet,661822.0,1.0,each (each),6.58,0.0,----,https://www.homedepot.com/p/Leviton-Glazed-Porcelain-Lamp-Holder-with-Pull-Chain-and-Outlet-R60-09726-00C/100357030,----
Interior Overall:,14. Main Floor Bath,Interior Electrical & Lighting,Lighting:,Fixtures,ELECTRICAL - LIGHTING - Dome Light - Install,0.0,46.08,----,0.0,0,----,----,----,----,----,Each (Ea),"13"" - 2 light dome. SONOMA‚ FLUSH MOUNT BRUSHED NICKEL, 13-1/4 IN.",----,----,----,----,----,----,Design House Bristol 2-Light Satin Nickel Dome Ceiling Semi Flush Mount Light,1005758722.0,1.0,each (each),31.08,0.0,----,https://www.homedepot.com/p/Design-House-Bristol-2-Light-Satin-Nickel-Dome-Ceiling-Semi-Flush-Mount-Light-510297/202500671,----
Interior Overall:,14. Main Floor Bath,Interior Electrical & Lighting,Lighting:,Fixtures,LED Pancake Light,0.0,51.97,----,0.0,0,----,----,----,----,----,Each (Ea),Installation of surface mount led flat dome.,----,----,----,----,----,----,Hampton Bay Flaxmere 12 in. Brushed Nickel Dimmable LED Flush Mount Ceiling Light with Frosted White Glass Shade,1000053230.0,1.0,each (each),24.97,0.0,----,https://www.homedepot.com/p/Hampton-Bay-Flaxmere-12-in-Brushed-Nickel-Dimmable-LED-Flush-Mount-Ceiling-Light-with-Frosted-White-Glass-Shade-HB1023C-35/310700106,----
Interior Overall:,14. Main Floor Bath,Interior Electrical & Lighting,Lighting:,Fixtures,Interior Wall Sconce,0.0,33.97,----,0.0,0,----,----,----,----,----,Each (Ea),Installation of Interior Wall Sconce. (Light only no bulb),----,----,----,----,----,----,Ashurst 1-Light Brushed Nickel Wall Sconce with Switch,1007175043.0,1.0,each (each),18.97,0.0,----,https://www.homedepot.com/p/Ashurst-1-Light-Brushed-Nickel-Wall-Sconce-with-Switch-JIB8401AX-02-BN/319386205,----
Interior Overall:,14. Main Floor Bath,Interior Electrical & Lighting,Lighting:,Fixtures,ELECTRICAL - LIGHTING - Vanity light (Standard),4,49.97,----,0.0,0,----,----,----,----,----,Each (Ea),Install new vanity light--Hampton Bay 3-Light Brushed Nickel Vanity Light with Frosted Shades,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Model#  HB2076-35,----,----,----,----,----,----,Hampton Bay Raceway 24 in. 4-Light Brushed Nickel Retro Bathroom Vanity Light,108898.0,1.0,each (each),19.97,0.0,----,https://www.homedepot.com/p/Hampton-Bay-Raceway-24-in-4-Light-Brushed-Nickel-Retro-Bathroom-Vanity-Light-HB2051-35/202022451,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Interior Overall:,14. Main Floor Bath,Interior Electrical & Lighting,Lighting:,Fixtures,ELECTRICAL - LIGHTING - Vanity light (Upgrade),0.0,89.97,----,0.0,0,----,----,----,----,----,Each (Ea),Install new vanity light--Hampton Bay 3-Light Brushed Nickel Vanity Light with Frosted Shades,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Model#  HB2076-35,----,----,----,----,----,----,Hampton Bay Tavish 24 in. 3-Light Brushed Nickel Classic Bathroom Vanity Light with Frosted Shades,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
(Upgrade),261370,1,each (each),39.97,0,----,https://www.homedepot.com/p/Hampton-Bay-Tavish-24-in-3-Light-Brushed-Nickel-Classic-Bathroom-Vanity-Light-with-Frosted-Shades-HB2076-35/202352121,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Interior Overall:,14. Main Floor Bath,Interior Electrical & Lighting,Lighting:,Bulbs & Accessories,Candle Style LED. (3 pack),0.0,15.95,----,0.0,0,----,----,----,----,----,Each (Ea),Candle style 5000k LED,----,----,----,----,----,----,EcoSmart 60-Watt Equivalent B11 Blunt Tip Dimmable Candle Medium Base Clear Glass LED Vintage Edison Light Bulb Daylight (3-Pack),1006265445.0,1.0,each (each),11.98,0.0,----,https://www.homedepot.com/p/EcoSmart-60-Watt-Equivalent-B11-Blunt-Tip-Dimmable-Candle-Medium-Base-Clear-Glass-LED-Vintage-Edison-Light-Bulb-Daylight-3-Pack-FG-04191/316021864,----
Interior Overall:,14. Main Floor Bath,Interior Electrical & Lighting,Lighting:,Bulbs & Accessories,ELECTRICAL - LIGHTING -LED Flood,0.0,13.18,----,5.0,0,----,----,----,----,----,Each (Ea),Replace Bulb LED,Cost Codes for Lighting,(null),----,----,----,----,EcoSmart 120-Watt Equivalent PAR38 Dimmable Energy Star Flood LED Light Bulb Bright White (2-Pack),1001654080.0,0.5,each (each),16.11,0.0,----,https://www.homedepot.com/p/EcoSmart-120-Watt-Equivalent-PAR38-Dimmable-Energy-Star-Flood-LED-Light-Bulb-Bright-White-2-Pack-B7PR38P120ESD01/303574492,----
Interior Overall:,14. Main Floor Bath,Interior Electrical & Lighting,Lighting:,Bulbs & Accessories,Large LED  Vanity Light,0.0,11.55,----,0.0,0,----,----,----,----,----,Each (Ea),Replace Vanity Light Bulbs With 5000k LED.,----,----,----,----,----,----,Cree 100W Equivalent Daylight (5000K) BR30 Dimmable Exceptional Light Quality LED Light Bulb,1003005626.0,1.0,each (each),9.55,0.0,----,https://www.homedepot.com/p/Cree-100W-Equivalent-Daylight-5000K-BR30-Dimmable-Exceptional-Light-Quality-LED-Light-Bulb-TBR30-14050FLFH25-12DE26-1-11/304006402,----
Interior Overall:,14. Main Floor Bath,Interior Electrical & Lighting,Lighting:,Bulbs & Accessories,ELECTRICAL - LIGHTING - LED BULB,0.0,9.47,----,0.0,0,----,----,----,----,----,Each (Ea),Instal 5000k LED 100 watt equivalent bulb.,----,----,----,----,----,----,Cree 100-Watt Equivalent A19 Dimmable Exceptional Light Quality LED Light Bulb Daylight (5000K),1004852968.0,1.0,each (each),8.93,0.0,----,https://www.homedepot.com/p/Cree-100-Watt-Equivalent-A19-Dimmable-Exceptional-Light-Quality-LED-Light-Bulb-Daylight-5000K-TA19-16050MDFH25-12DE26-1-11/311407015,----
Interior Overall:,14. Main Floor Bath,Interior Electrical & Lighting,Outlets & Switches & Accessories,----,Face Plate: Switch/Outlet/Blank,0.0,5.98,----,0.0,0,----,----,----,----,----,Each (Ea),"Install broken, missing, needed face plate.",----,(null),----,----,----,----,"Leviton 1-Gang Midway Blank Nylon Wall Plate, White",562808.0,1.0,each (each),1.1,0.0,----,https://www.homedepot.com/p/Leviton-1-Gang-Midway-Blank-Nylon-Wall-Plate-White-R52-0PJ13-00W/100356907,----
Interior Overall:,14. Main Floor Bath,Interior Electrical & Lighting,Outlets & Switches & Accessories,----,ELECTRICAL - Switches - Replace,0.0,17.83,----,0.0,0,----,----,----,----,----,Each (Ea),"Replace switch, includes face plates.",Cost Codes for Misc.,(null),----,----,----,----,"Leviton Decora Plus 15 Amp Quiet Switch, White",639312.0,1.0,each (each),8.47,0.0,----,https://www.homedepot.com/p/Leviton-Decora-Plus-15-Amp-Quiet-Switch-White-R52-05691-2WS/100142692,----
Interior Overall:,14. Main Floor Bath,Interior Electrical & Lighting,Outlets & Switches & Accessories,----,Standadrd Outlet,0.0,12.51,----,0.0,0,----,----,----,----,----,Each (Ea),"Replace Electrical Outlet, includes face plate.",----,----,----,----,----,----,"Leviton Decora 15 Amp Residential Grade Self Grounding Duplex Outlet, White",627976.0,1.0,each (each),2.65,0.0,----,https://www.homedepot.com/p/Leviton-Decora-15-Amp-Residential-Grade-Self-Grounding-Duplex-Outlet-White-R52-05325-0WS/100357024,----
Interior Overall:,14. Main Floor Bath,Interior Electrical & Lighting,Outlets & Switches & Accessories,----,ELECTRICAL - GFCI Outlet - Replace,0.0,48.63,----,0.0,0,----,----,----,----,----,Each (Ea),Replace/install GFCI outlet,----,(null),----,----,----,----,"Leviton 15 Amp 125-Volt Duplex Self-Test SmartlockPro Tamper Resistant AFCI/GFCI Dual Function Outlet, White",1001708951.0,1.0,each (each),32.1,0.0,----,https://www.homedepot.com/p/Leviton-15-Amp-125-Volt-Duplex-Self-Test-SmartlockPro-Tamper-Resistant-AFCI-GFCI-Dual-Function-Outlet-White-R92-AGTR1-0KW/206804820,----
Interior Overall:,14. Main Floor Bath,Interior Electrical & Lighting,Outlets & Switches & Accessories,----,ELECTRICAL - Blank outlet/GFI under sink,0.0,15,----,0.0,0,----,----,----,----,----,Each (Ea),Blank outlet/GFI under sink Unless required for dishwasher,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Interior Overall:,14. Main Floor Bath,Flooring,Flooring Accessories,----,FLOORING - Transition Strip - Install/Replace,0.0,23.97,----,0.0,0,----,----,----,----,----,Each (Ea),36 in. x 1-3/8 in,----,----,----,----,----,----,TrafficMaster Silver Fluted 36 in. x 1-3/8 in. Carpet Trim,420004.0,1.0,each (each),8.97,0.0,----,https://www.homedepot.com/p/TrafficMaster-Silver-Fluted-36-in-x-1-3-8-in-Carpet-Trim-18562/100354272,----
Interior Overall:,14. Main Floor Bath,Flooring,Flooring Accessories,----,HVAC - Floor Register - Replace,0.0,19.08,----,0.0,0,----,----,----,----,----,Each (Ea),----,----,----,----,----,----,----,Everbilt 10 in. x 6 in. 2-Way Steel Wall/Ceiling Register in White,320451.0,1.0,each (each),14.67,0.0,----,https://www.homedepot.com/p/Everbilt-10-in-x-6-in-2-Way-Steel-Wall-Ceiling-Register-in-White-E102M10X06/300539476,----
Interior Overall:,14. Main Floor Bath,Flooring,Carpet:,----,FLOORING - DEMO - Carpet Demo,0.0,225,----,0.0,0,----,----,----,----,----,Each (Ea),Carpet Demo - Remove carpet prior to paint and haul in specified locations.,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Interior Overall:,14. Main Floor Bath,Flooring,Carpet:,----,Install Carpet,0.0,1.1,----,0.0,0,----,----,----,----,----,Each (Ea),"Replace any broken tack strips, install carpet and pad.",----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Interior Overall:,14. Main Floor Bath,Flooring,Floor Base & Shoe,----,Replace quarter round/shoe modling,0.0,1.17,----,0.0,0,----,----,----,----,----,Linear Feet (LF),Replace/install quarter round/shoe molding in specified area(s) in all areas where LVP is installed.,Cost Codes for Interior Carpentry Work,----,----,----,----,----,Alexandria Moulding WM 105 3/4 in. x 3/4 in. Pine Quarter Round Molding,419011.0,1.0,linear feet (linear feet),1.17,0.0,----,https://www.homedepot.com/p/Alexandria-Moulding-WM-105-3-4-in-x-3-4-in-Pine-Quarter-Round-Molding-WM105-920RLC/100083865,----
Interior Overall:,14. Main Floor Bath,Flooring,Floor Base & Shoe,----,Replace molding,0.0,1.85,----,0.0,0,----,----,----,----,----,Linear Feet (LF),Replace 5 1/4 in baseboard where needed.,----,----,----,----,----,----,Alexandria Moulding LWM163E 1/2 in. x 5-1/4 in. x 12 ft. Primed Finger-Jointed Poplar Wood Baseboard Moulding,800384.0,1.0,piece (piece),37.07,0.05,----,https://www.homedepot.com/p/Alexandria-Moulding-LWM163E-1-2-in-x-5-1-4-in-x-12-ft-Primed-Finger-Jointed-Poplar-Wood-Baseboard-Moulding-L163F-97144C/206013277,----
Interior Overall:,14. Main Floor Bath,Flooring,Tile Floors,----,"Flooring, Tile wall, replace, standard grade",0.0,21.12,----,67.43,0,----,----,----,----,----,Square Feet (SF),"Includes tile, grout, mortar, and installation. Allowances for typical grades of tile used in residential and light commercial structures.",----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
